"logFC","logCPM","PValue","FDR"
"Tcas001746",-1.1915844719206,4.53370847031725,9.43355303068174e-11,1.71381930695585e-08
"Tcas008244",1.6691387284549,5.09545395656162,9.66545418043381e-11,1.72459318162312e-08
"Tcas009776",-1.93382391516281,9.52752542422568,1.28753995257682e-10,2.25703494844694e-08
"Tcas003844",-2.59486268771545,8.10630624355239,1.37021688726902e-10,2.36055295475725e-08
"Tcas002980",-2.11964723793677,4.54220710877836,1.90279439783335e-10,3.22249519036456e-08
"Tcas004414",-1.15729154555212,6.47728443054006,1.97795633279739e-10,3.29395661288525e-08
"Tcas011402",-2.22800385557284,4.27640903527728,2.20428571167904e-10,3.61069226739294e-08
"Tcas011930",-4.33052467270041,11.2513434481138,3.05745088270178e-10,4.92742729354131e-08
"Tcas008044",-2.43105796731731,4.78551644860492,3.44144111281048e-10,5.45823485701625e-08
"Tcas000696",3.93825121995667,2.94395575915052,3.69883039359804e-10,5.77479895200494e-08
"Tcas000424",-2.1877719891873,9.29890387213144,4.1296282622806e-10,6.34819163026273e-08
"Tcas010072",-2.57687260392684,8.05609506301605,4.56129302693446e-10,6.90552120077714e-08
"Tcas005008",1.41951227065627,6.32594550154268,5.48458068396952e-10,8.179392566302e-08
"Tcas012194",1.85522672611274,2.84188863323832,1.0138637871294e-09,1.4897833766172e-07
"Tcas004806",1.19990213657572,4.743786383644,1.10428666008786e-09,1.59913511704318e-07
"Tcas007742",-1.91718094528089,6.63769956936657,1.54071590394299e-09,2.19008785633132e-07
"Tcas005904",-2.84799798652914,8.48896610636081,1.55620734387033e-09,2.19008785633132e-07
"Tcas005162",-1.74926941125368,9.953552167288,1.63593117931966e-09,2.27030893663362e-07
"Tcas001054",-1.07169925836114,5.12933373058186,1.7482681589603e-09,2.39297197867552e-07
"Tcas000497",-1.53664897000031,8.70812389621287,1.83430044442723e-09,2.47680135685363e-07
"Tcas005541",-1.65358165442521,4.1306374411857,1.89421538143712e-09,2.52360001217596e-07
"Tcas012143",1.58098706371583,7.69129917365095,2.14009756940541e-09,2.81366512019722e-07
"Tcas005925",2.44451412120228,8.20005153365246,3.12109044257741e-09,4.05012151977058e-07
"Tcas004402",-4.24752434468114,9.25504928294276,3.27405663745468e-09,4.19415050274964e-07
"Tcas000861",-1.48773789790459,4.88461187422033,4.16152161201771e-09,5.26353467687101e-07
"Tcas010516",-1.17777885328536,6.5073688291917,5.50203632342419e-09,6.87204336795682e-07
"Tcas008924",-4.48692267868083,5.92027237545632,5.90321447279623e-09,7.28208876693579e-07
"Tcas003282",-3.57811570466951,6.12302967277577,6.15787805729965e-09,7.50359970104123e-07
"Tcas005872",-1.73186639423815,4.14373801830092,6.36362929657606e-09,7.66088963028772e-07
"Tcas004296",-2.50019297034537,5.02604634463152,6.46786681268382e-09,7.69368157051628e-07
"Tcas004678",-1.79457751222634,7.09870351788189,7.03897784775038e-09,8.2745254887908e-07
"Tcas003336",-1.85597895057705,5.5259997705915,8.22592132020176e-09,9.55737277109954e-07
"Tcas005528",2.43671820760582,8.84542803155388,1.13352172343336e-08,1.30185621385588e-06
"Tcas004748",1.69217967192956,6.04239817838509,1.16386592193623e-08,1.32151685136214e-06
"Tcas001913",-1.12460301784534,7.06373682847543,1.18140232050823e-08,1.32635640297957e-06
"Tcas000444",2.26661964470248,3.15110840501591,1.48150075789978e-08,1.6447950636594e-06
"Tcas004697",-1.562205511022,4.64567001636688,1.71312864971806e-08,1.88105290856954e-06
"Tcas005777",8.18218574618525,2.6220765124248,1.86186376707208e-08,2.02214595223741e-06
"Tcas008106",-2.68675973262028,3.13749889415823,1.89594153517656e-08,2.03701589456819e-06
"Tcas004939",-1.63072940809243,6.24717266789686,2.00175741905263e-08,2.12782554586956e-06
"Tcas008523",1.64940204438795,5.324371319306,2.19104059356781e-08,2.30451343272943e-06
"Tcas003434",-1.41412707773738,6.34439970292083,2.39917580796995e-08,2.49714215346205e-06
"Tcas000564",6.53671584803854,4.18541074982232,3.38438347529679e-08,3.48626388506861e-06
"Tcas006439",-1.08900062748748,4.54060100036359,3.61653164063889e-08,3.68738613808815e-06
"Tcas003893",-1.17858935458459,6.20092041449967,5.01972576562129e-08,5.0663737222311e-06
"Tcas010433",-1.46295312487823,5.12365952678223,5.90932717468997e-08,5.90459971295022e-06
"Tcas004456",-2.29725608688437,3.50353164374452,6.27873763126688e-08,6.21159865461571e-06
"Tcas001190",-1.58125566893022,6.51856229954578,7.71066595722593e-08,7.55342884750995e-06
"Tcas007426",-1.43889057410951,5.61545669199916,7.88433285259086e-08,7.64856833622212e-06
"Tcas001505",-1.17968172223373,7.83058097892695,8.24131230136097e-08,7.85802805386717e-06
"Tcas010555",1.79809663943396,8.32925929276976,8.25753548494849e-08,7.85802805386717e-06
"Tcas008415",-1.09216504763633,4.67764749562922,9.05636504628446e-08,8.53690561721456e-06
"Tcas010798",-1.1779692781419,6.2639396718495,9.5307760059666e-08,8.90014148145965e-06
"Tcas004113",-2.75380199953791,9.31790740103901,9.8064752300138e-08,9.07280560169425e-06
"Tcas012520",-1.86170665494513,4.01335670654236,9.97253622999582e-08,9.14179651468974e-06
"Tcas005135",-0.941341688188811,5.4629513680218,1.01399338426241e-07,9.21074717777275e-06
"Tcas011863",-1.32607100215063,8.68769903478137,1.02552027021366e-07,9.23153021619364e-06
"Tcas006511",1.68204042736927,3.29550327571555,1.10560190878641e-07,9.86354845767303e-06
"Tcas004264",-1.3409082997171,5.67538514723533,1.21402438385642e-07,1.07349837553039e-05
"Tcas000934",1.66022414097918,6.38180084629649,1.26904557104429e-07,1.11230731104162e-05
"Tcas004893",-1.88566162758641,5.2352271772163,1.33780812963411e-07,1.16238076793948e-05
"Tcas005487",-1.61332117495584,4.88392129289759,1.35868016968554e-07,1.17033898754293e-05
"Tcas004398",-1.11221769854532,7.34772538092855,1.43216597322891e-07,1.22309422260712e-05
"Tcas010364",-3.51638772009495,6.09671229644527,1.47108963829788e-07,1.24174919588008e-05
