"logFC","unshrunk.logFC","logCPM","PValue","FDR"
"Tcas005723",-1.03548508269998,-1.03571606364285,7.03094168010842,0.000778679888316056,0.222419804928713
"Tcas008143",1.3419711964352,1.34199056514633,10.6731919258066,0.000857961466028214,0.222419804928713
"Tcas009946",-1.0604333174736,-1.06215803094955,3.85785093977557,0.000890148290153968,0.222419804928713
"Tcas007531",0.953569369559221,0.953845041637077,5.9147090748002,0.00091335582616674,0.222419804928713
"Tcas000694",0.795594924571473,0.796148926531209,5.08872180897833,0.000928441319478097,0.222419804928713
"Tcas000416",-0.520953436502732,-0.521096367576995,6.5286376574153,0.000935924550317864,0.222419804928713
"Tcas009302",0.94357015998274,0.943654015729189,7.97101175006151,0.000951501039435925,0.222419804928713
"Tcas004678",0.928814912410587,0.928959555871096,7.09870007669639,0.00096631067618774,0.222419804928713
"Tcas006142",0.939463180531233,0.939469487657439,11.5905632036248,0.000970599692929963,0.222419804928713
"Tcas005893",-3.30873691596508,-3.36877739407291,3.38372264768221,0.000981767226506721,0.222419804928713
"Tcas012143",-0.725753285341409,-0.72586587012884,7.69129956573266,0.000986490529748499,0.222419804928713
"Tcas007752",-0.839685682910107,-0.839982947802219,6.59250625253926,0.00100169047455885,0.222419804928713
"Tcas001746",0.52485346357798,0.525288595163996,4.53370077627501,0.00104148805322566,0.226229317996322
"Tcas004816",1.01155333204099,1.01258995077208,4.55013225059972,0.0010919754376031,0.23214933133043
"Tcas005512",0.668772156270862,0.668875735223995,7.02152478332254,0.00112044761746902,0.233239845703134
"Tcas006736",1.25884360913298,1.2657554893369,2.2155055728736,0.00135390364304861,0.270980476523213
"Tcas012002",-0.613972989501722,-0.614260728176513,5.40598096640837,0.00135598717235395,0.270980476523213
"Tcas012185",-2.23515881735429,-2.2383285975758,4.88383422810061,0.00139940225125086,0.271967629211111
"Tcas002261",0.720629520871451,0.720711788673192,7.60588337254204,0.00144401494685795,0.271967629211111
"Tcas006017",-3.40163329784419,-3.48041028453795,3.51649024300317,0.00145066756422721,0.271967629211111
"Tcas011944",-2.5009409859318,-2.50482724361241,5.89835960421465,0.00150139529745564,0.271967629211111
